id,lat,lng,value,label
1,31.57936,120.313747,45,6
2,31.579999,120.315817,45,6
3,31.578391,120.313929,45,6
4,31.578848,120.315495,45,6
5,31.579999,120.319015,45,6
6,31.576343,120.313693,45,6
7,31.577348,120.31732,45,6
8,31.578555,120.320517,45,6
9,31.575392,120.316697,45,6
10,31.576471,120.32056,45,6
11,31.577056,120.324487,45,6
12,31.577476,120.328263,45,6
13,31.578208,120.330774,45,6
14,31.576983,120.330881,45,6
15,31.576233,120.329422,45,6
16,31.575977,120.32674,45,6
17,31.575722,120.324143,45,6
18,31.574862,120.321139,45,6
19,31.573619,120.319165,45,6
20,31.57329,120.316247,45,6
21,31.57318,120.313329,45,6
22,31.570328,120.314916,45,6
23,31.57106,120.318779,45,6
24,31.571901,120.323156,45,6
25,31.572998,120.324873,45,6
26,31.574168,120.329078,45,6
27,31.573071,120.334743,45,6
28,31.570585,120.331009,45,6
29,31.568281,120.326203,45,6
30,31.566526,120.322941,45,6
31,31.564478,120.319551,45,6
32,31.563089,120.317169,45,6
33,31.560602,120.322104,45,6
34,31.562723,120.326267,45,6
35,31.5651,120.331545,45,6
36,31.567769,120.335415,45,6
37,31.569414,120.338541,45,6
38,31.570636,120.34133,45,6
39,31.571989,120.346823,45,6
40,31.570161,120.345664,45,6
41,31.567821,120.343304,45,6
42,31.56665,120.339785,45,6
43,31.565773,120.336266,45,6
44,31.563579,120.331889,45,6
45,31.561604,120.32734,45,6
46,31.559008,120.325795,45,6
47,31.556192,120.330043,45,6
48,31.558277,120.333691,45,6
49,31.559301,120.337081,45,6
50,31.56091,120.340729,45,6
51,31.562299,120.345021,45,6
52,31.56442,120.347939,45,6
53,31.564493,120.352102,45,6
54,31.566175,120.356093,45,6
55,31.567638,120.360427,45,6
56,31.568186,120.36459,45,6
57,31.568406,120.368195,45,6
58,31.569795,120.371156,45,6
59,31.572245,120.372229,45,6
60,31.575133,120.372143,45,6
61,31.575572,120.374975,45,6
62,31.573707,120.376692,45,6
63,31.575791,120.374632,45,6
64,31.575279,120.379653,45,6
65,31.573342,120.382185,45,6
66,31.571184,120.384717,45,6
67,31.568954,120.386648,45,6
68,31.569795,120.383301,45,6
69,31.570124,120.379224,45,6
70,31.569722,120.374718,45,6
71,31.569283,120.370684,45,6
72,31.566395,120.372701,45,6
73,31.564749,120.369654,45,6
74,31.56431,120.366821,45,6
75,31.56336,120.363259,45,6
76,31.562409,120.358667,45,6
77,31.560507,120.355106,45,6
78,31.558679,120.349698,45,6
79,31.555827,120.351157,45,6
80,31.553084,120.353689,45,6
81,31.555059,120.342617,45,6
82,31.552316,120.344377,45,6
83,31.549098,120.346565,45,6
84,31.546903,120.348926,45,6
85,31.55685,120.3618,45,6
86,31.559812,120.368195,45,6
87,31.561421,120.371456,45,6
88,31.562445,120.373988,45,6
89,31.564639,120.37931,45,6
90,31.565809,120.383816,45,6
91,31.566211,120.388022,45,6
92,31.56676,120.391927,45,6
93,31.56665,120.396991,45,6
94,31.564931,120.399995,45,6
95,31.567454,120.403128,45,6
96,31.571623,120.404415,45,6
97,31.571842,120.409093,45,6
98,31.575681,120.407806,45,6
99,31.57835,120.404544,45,6
100,31.58175,120.404115,45,6
101,31.582116,120.40802,45,6
102,31.568222,120.404759,45,6
103,31.567418,120.408707,45,6
104,31.562774,120.405874,45,6
105,31.563432,120.402098,45,6
106,31.566101,120.396948,45,6
107,31.560872,120.393987,45,6
108,31.559593,120.386777,45,6
109,31.556009,120.393386,45,6
110,31.556119,120.386391,45,6
111,31.556045,120.382228,45,6
112,31.554948,120.376091,45,6
113,31.553303,120.370426,45,6
114,31.551072,120.364204,45,6
115,31.547744,120.358582,45,6
116,31.544818,120.352745,45,6
117,31.538783,120.343476,45,6
118,31.540246,120.354762,45,6
119,31.545403,120.370169,45,6
120,31.548768,120.375362,45,6
121,31.548914,120.378667,45,6
122,31.551254,120.385876,45,6
123,31.54639,120.393301,45,6
124,31.545074,120.382357,45,6
125,31.539441,120.383387,45,6
126,31.533699,120.38755,45,6
127,31.528358,120.384761,45,6
128,31.527444,120.379782,45,6
129,31.530992,120.376306,45,6
130,31.522688,120.373731,45,6
131,31.519505,120.365878,45,6
132,31.516761,120.364161,45,6
133,31.514384,120.381671,45,6
134,31.518225,120.389481,45,6
135,31.51764,120.396519,45,6
136,31.51153,120.394631,45,6
137,31.507615,120.399566,45,6
138,31.48877,120.373216,45,6
139,31.474314,120.3612,45,6
140,31.471056,120.366736,45,6
141,31.468677,120.364633,45,6
142,31.471605,120.381885,45,6
143,31.475265,120.383301,45,6
144,31.478193,120.381671,45,6
145,31.480535,120.381714,45,6
146,31.478925,120.385404,45,6
147,31.481925,120.388881,45,6
148,31.478705,120.389825,45,6
149,31.474532,120.389525,45,6
150,31.475484,120.393644,45,6
151,31.478265,120.39549,45,6
152,31.498906,120.391713,45,6
153,31.502674,120.393129,45,6
154,31.508722,120.401026,45,6
155,31.507808,120.40506,45,6
156,31.510918,120.398923,45,6
157,31.511897,120.391842,45,6
158,31.517934,120.417334,45,6
159,31.507836,120.432826,45,6
160,31.503372,120.43274,45,6
161,31.503299,120.428835,45,6
162,31.52205,120.431775,45,6
163,31.525562,120.425938,45,6
164,31.53072,120.422419,45,6
165,31.533171,120.417226,45,6
166,31.536719,120.412034,45,6
167,31.542023,120.416883,45,6
168,31.545351,120.418814,45,6
169,31.548899,120.420187,45,6
170,31.548533,120.425466,45,6
171,31.546924,120.431174,45,6
172,31.551642,120.433105,45,6
173,31.551496,120.438727,45,6
174,31.548351,120.43877,45,6
175,31.545644,120.437311,45,6
176,31.547583,120.444778,45,6
177,31.54451,120.443276,45,6
178,31.551935,120.446709,45,6
179,31.549887,120.451172,45,6
180,31.546266,120.449627,45,6
181,31.543084,120.448555,45,6
182,31.537817,120.445808,45,6
183,31.535184,120.445207,45,6
184,31.53928,120.441645,45,6
185,31.536427,120.440057,45,6
186,31.541109,120.432376,45,6
187,31.53811,120.431174,45,6
188,31.542828,120.4292,45,6
189,31.539719,120.427827,45,6
190,31.532843,120.43435,45,6
191,31.521137,120.445851,45,6
192,31.520186,120.462588,45,6
193,31.496806,120.456022,45,6
194,31.49472,120.459198,45,6
195,31.495049,120.466579,45,6
196,31.491829,120.469369,45,6
197,31.481472,120.451473,45,6
198,31.478764,120.4501,45,6
199,31.4773,120.450057,45,6
200,31.47525,120.448426,45,6
201,31.473201,120.448083,45,6
202,31.488719,120.448984,45,6
203,31.485974,120.449928,45,6
204,31.481949,120.443577,45,6
205,31.48107,120.446151,45,6
206,31.476129,120.442589,45,6
207,31.473787,120.438083,45,6
208,31.472213,120.441002,45,6
209,31.47192,120.435251,45,6
210,31.469028,120.434521,45,6
211,31.469468,120.438856,45,6
212,31.471737,120.446109,45,6
213,31.474519,120.448641,45,6
214,31.473641,120.453276,45,6
215,31.472396,120.456837,45,6
216,31.470822,120.455035,45,6
217,31.466722,120.451773,45,6
218,31.462074,120.45203,45,6
219,31.458706,120.444005,45,6
220,31.460243,120.466708,45,6
221,31.449663,120.465334,45,6
222,31.485169,120.468725,45,6
223,31.484437,120.472415,45,6
224,31.482022,120.47087,45,6
225,31.484657,120.469025,45,6
226,31.495599,120.483788,45,6
227,31.494281,120.473231,45,6
228,31.492232,120.483917,45,6
229,31.49,120.483831,45,6
230,31.492488,120.488509,45,6
231,31.490219,120.488466,45,6
232,31.49677,120.488208,45,6
233,31.496514,120.4925,45,6
234,31.497062,120.495547,45,6
235,31.494903,120.495117,45,6
236,31.489707,120.495118,45,6
237,31.489048,120.498637,45,6
238,31.48656,120.499281,45,6
239,31.483559,120.495418,45,6
240,31.483851,120.498981,45,6
241,31.481509,120.499324,45,6
242,31.478544,120.495633,45,6
243,31.51038,120.495622,45,6
244,31.515685,120.498198,45,6
245,31.517551,120.499099,45,6
246,31.519344,120.499871,45,6
247,31.519161,120.502318,45,6
248,31.5211,120.502704,45,6
249,31.521465,120.499957,45,6
250,31.52099,120.503219,45,6
251,31.523852,120.499668,45,6
252,31.526331,120.499855,45,6
253,31.526696,120.502258,45,6
254,31.525416,120.50155,45,6
255,31.524391,120.501636,45,6
256,31.52494,120.504854,45,6
257,31.52633,120.50479,45,6
258,31.527482,120.505241,45,6
259,31.52869,120.505348,45,6
260,31.529696,120.505348,45,6
261,31.52997,120.502988,45,6
262,31.528452,120.502645,45,6
263,31.530391,120.500714,45,6
264,31.529494,120.497495,45,6
265,31.527903,120.494706,45,6
266,31.527775,120.496251,45,6
267,31.527611,120.497581,45,6
268,31.52633,120.496315,45,6
269,31.519754,120.517279,45,6
270,31.481132,120.375294,45,6
